Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Get Detail Driver,Chrome 103.0.5060.134,,,2022-07-28 16:03:14,2022-07-28 16:07:33,4m - 19.312s,PASSED
,,,,,,,
Test Cases/Driver - Internal TMS/Integrate Internal - Get Detail Driver/Get Detail Driver,Chrome 103.0.5060.134,,,2022-07-28 16:03:15,2022-07-28 16:03:46,31.196s,PASSED
"callTestCase(findTestCase(""PreCondition/Driver""), [:], STOP_ON_FAILURE)",Chrome 103.0.5060.134,,,2022-07-28 16:03:16,2022-07-28 16:03:33,17.078s,PASSED
"setText(findTestObject(""Get List Driver/Page_/DRiver_FilterSearch""), validDriverID)",Chrome 103.0.5060.134,,,2022-07-28 16:03:33,2022-07-28 16:03:36,2.988s,PASSED
"verifyElementPresent(findTestObject(""Get List Driver/Page_/span_arrow_forward""), 0)",Chrome 103.0.5060.134,,,2022-07-28 16:03:36,2022-07-28 16:03:36,0.447s,PASSED
"click(findTestObject(""Get List Driver/Page_/span_arrow_forward""))",Chrome 103.0.5060.134,,,2022-07-28 16:03:36,2022-07-28 16:03:38,1.445s,PASSED
"verifyElementPresent(findTestObject(""Detail Driver/BodyDetailDriver""), 0)",Chrome 103.0.5060.134,,,2022-07-28 16:03:38,2022-07-28 16:03:44,5.817s,PASSED
"verifyElementClickable(findTestObject(""Detail Driver/BackButton""))",Chrome 103.0.5060.134,,,2022-07-28 16:03:44,2022-07-28 16:03:44,0.695s,PASSED
"click(findTestObject(""Detail Driver/BackButton""))",Chrome 103.0.5060.134,,,2022-07-28 16:03:44,2022-07-28 16:03:45,0.874s,PASSED
closeBrowser(),Chrome 103.0.5060.134,,,2022-07-28 16:03:45,2022-07-28 16:03:46,0.894s,PASSED
,,,,,,,
Test Cases/Driver - Internal TMS/Integrate Internal - Get Detail Driver/Get Detail Driver,Chrome 103.0.5060.134,,,2022-07-28 16:03:46,2022-07-28 16:04:25,39.010s,PASSED
"callTestCase(findTestCase(""PreCondition/Driver""), [:], STOP_ON_FAILURE)",Chrome 103.0.5060.134,,,2022-07-28 16:03:46,2022-07-28 16:04:14,27.603s,PASSED
"setText(findTestObject(""Get List Driver/Page_/DRiver_FilterSearch""), validDriverID)",Chrome 103.0.5060.134,,,2022-07-28 16:04:14,2022-07-28 16:04:19,4.798s,PASSED
"verifyElementPresent(findTestObject(""Get List Driver/Page_/span_arrow_forward""), 0)",Chrome 103.0.5060.134,,,2022-07-28 16:04:19,2022-07-28 16:04:19,0.442s,PASSED
"click(findTestObject(""Get List Driver/Page_/span_arrow_forward""))",Chrome 103.0.5060.134,,,2022-07-28 16:04:19,2022-07-28 16:04:21,1.661s,PASSED
"verifyElementPresent(findTestObject(""Detail Driver/BodyDetailDriver""), 0)",Chrome 103.0.5060.134,,,2022-07-28 16:04:21,2022-07-28 16:04:23,2.408s,PASSED
"verifyElementClickable(findTestObject(""Detail Driver/BackButton""))",Chrome 103.0.5060.134,,,2022-07-28 16:04:23,2022-07-28 16:04:23,0.417s,PASSED
"click(findTestObject(""Detail Driver/BackButton""))",Chrome 103.0.5060.134,,,2022-07-28 16:04:23,2022-07-28 16:04:24,0.723s,PASSED
closeBrowser(),Chrome 103.0.5060.134,,,2022-07-28 16:04:24,2022-07-28 16:04:25,0.927s,PASSED
,,,,,,,
Test Cases/Driver - Internal TMS/Integrate Internal - Get Detail Driver/Get Detail Driver,Chrome 103.0.5060.134,,,2022-07-28 16:04:25,2022-07-28 16:04:49,24.065s,PASSED
"callTestCase(findTestCase(""PreCondition/Driver""), [:], STOP_ON_FAILURE)",Chrome 103.0.5060.134,,,2022-07-28 16:04:25,2022-07-28 16:04:39,14.175s,PASSED
"setText(findTestObject(""Get List Driver/Page_/DRiver_FilterSearch""), validDriverID)",Chrome 103.0.5060.134,,,2022-07-28 16:04:39,2022-07-28 16:04:43,3.555s,PASSED
"verifyElementPresent(findTestObject(""Get List Driver/Page_/span_arrow_forward""), 0)",Chrome 103.0.5060.134,,,2022-07-28 16:04:43,2022-07-28 16:04:45,1.805s,PASSED
"click(findTestObject(""Get List Driver/Page_/span_arrow_forward""))",Chrome 103.0.5060.134,,,2022-07-28 16:04:45,2022-07-28 16:04:45,0.473s,PASSED
"verifyElementPresent(findTestObject(""Detail Driver/BodyDetailDriver""), 0)",Chrome 103.0.5060.134,,,2022-07-28 16:04:45,2022-07-28 16:04:47,1.806s,PASSED
