Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Get List SP,Chrome 103.0.5060.134,,,2022-07-26 21:12:26,2022-07-26 21:15:17,2m - 50.556s,FAILED
,,,,,,,
Test Cases/Service Provider -Internal TMS/Get List Customer with Invalid filter Search All,Chrome 103.0.5060.134,,,2022-07-26 21:12:27,2022-07-26 21:13:18,50.723s,FAILED
"callTestCase(findTestCase(""Service Provider -Internal TMS/PreCondition/SP""), [""validData"":""""], STOP_ON_FAILURE)",Chrome 103.0.5060.134,,,2022-07-26 21:12:28,2022-07-26 21:13:18,49.959s,FAILED
,,,,,,,
Test Cases/Service Provider -Internal TMS/Get List Customer with Invalid filter Search All,Chrome 103.0.5060.134,,,2022-07-26 21:13:18,2022-07-26 21:13:54,35.733s,FAILED
"callTestCase(findTestCase(""Service Provider -Internal TMS/PreCondition/SP""), [""validData"":""""], STOP_ON_FAILURE)",Chrome 103.0.5060.134,,,2022-07-26 21:13:18,2022-07-26 21:13:54,35.705s,FAILED
,,,,,,,
Test Cases/Service Provider -Internal TMS/Get List Customer with Invalid filter Search All,Chrome 103.0.5060.134,,,2022-07-26 21:13:54,2022-07-26 21:14:34,40.864s,FAILED
"callTestCase(findTestCase(""Service Provider -Internal TMS/PreCondition/SP""), [""validData"":""""], STOP_ON_FAILURE)",Chrome 103.0.5060.134,,,2022-07-26 21:13:54,2022-07-26 21:14:34,40.842s,FAILED
,,,,,,,
Test Cases/Service Provider -Internal TMS/Get List Customer with Invalid filter Search All,Chrome 103.0.5060.134,,,2022-07-26 21:14:34,2022-07-26 21:15:17,42.454s,FAILED
"callTestCase(findTestCase(""Service Provider -Internal TMS/PreCondition/SP""), [""validData"":""""], STOP_ON_FAILURE)",Chrome 103.0.5060.134,,,2022-07-26 21:14:35,2022-07-26 21:15:17,42.426s,FAILED
